Ord1,Ord2,Ord3,HarVerb,Verb
Gelé,Organ,Tran,HarFokusert,Fokuserte
Gemytt,Orgel,Trasé,HarForberedt,Forbereder
Genser,Orm,Trau,HarForklart,Forklarer
Gesims,Ovn,Traume,HarForsyntSeg,ForsynerSeg
Geskjeft,Ødem,Trav,HarFungert,Fungerer
Gikt,Økt,Trål,HarFylt,Fyller
Gips,Øre,Træl,HarFødt,Føder
Gissel,Østrogen,Trekk,HarFølt,Føler
Gjedde,Pai,Trell,HarGjemt,Gjemmer
Gjørme,Palass,Tresk,HarGlemt,Glemmer
Glans,Palme,Trommel,HarGratulert,Gratulerer
Glasur,Panne,Trompet,HarHelt,Heller
Glis,Pant,Trøffel,HarHendt,Hender
Glitter,Paprika,Trubadur,HarHengt,Henger
Glor,Paralyse,Trumf,HarHilst,Hilser
Glorie,Pasta,Truse,HarHørt,Hører
Gluten,Paté,Trut,HarInnrømt,Innrømmer
Grabb,Patt,Tryne,HarInsistert,Insisterer
Granat,Påle,Tube,HarIntegrertSeg,IntegrererSeg
Graps,Pedal,Tunnel,HarInvitert,Inviterer
Grav,Pelikan,Tupp,HarKalt,Kaller
Grevling,Pels,Turn,HarKjent,Kjenner
Grind,Pendel,Tusj,HarKjøpt,Kjøper
Gro,Penn,Tut,HarKjørt,Kjører
Grop,Pennal,Tvilling,HarKlart,Klarer
Grotte,Pensel,Tyv,HarKlemt,Klemmer
Grøft,Perle,Urne,HarKokt,Koker
Grønske,Perm,Utslett,HarKonfirmertSeg,KonfirmererSeg
Grøss,Perrong,Vagle,HarKonstatert,Konstaterer
Grøt,Pest,Valke,HarKontrollert,Kontrollerer
Grums,Pike,Vals,HarKopiert,Kopierer
Grut,Piknik,Vandel,HarKost,KoserSeg
Gryn,Pil,Vanilje,HarKvalifisert,Kvalifiserer
Gryte,Pilk,Vask,HarLekt,Leker
Gubbe,Pilot,Væske,HarLest,Leser
Gulasj,Pinne,Velling,HarLevert,Leverer
Gulp,Pir,Ventrikkel,HarLikt,Liker
Gunst,Pirat,Veranda,HarLurt,Lurer
Gusj,Plagg,Verk,HarLært,Lærer
Gylf,Plakk,Veske,HarLøst,Løser
Gymnastikk,Planet,Vev,HarLånt,Låner
Hake,Planke,Vigør,HarMalt,Maler
Hale,Plaster,Vimpel,HarMast,Maser
Ham,Plate,Vindu,HarMeldt,Melder
Hanske,Pledd,Vippe,HarMent,Mener
Harpe,Plett,Vogn,HarMosjonert,Mosjonerer
Harpiks,Plog,Voks,HarMotivert,Motiverer
Hassel,Plomme,Voll,HarMålt,Måler
Havn,Pløs,Vom,HarNevnt,Nevner
Hår,Plugg,Vorte,HarNølt,Nøler
Hæl,Plysj,Vræl,HarOppførtSeg,OppførerSeg
Hekk,Pokal,Vulkan,HarOppholdtSeg,OppholderSeg
Hems,Pomade,Ymse,HarOppsøkt,Oppsøker
Ynk,Yoghurt,,HarOrganisert,Organiserer
Hette,Pore,,HarParkert,Parkerer
Hinne,Port,,HarPensjonertSeg,PensjonererSeg
Hjerne,Portemoné,,HarPresentert,Presenterer
Hjul,Pose,,HarReagert,Reagerer
Hode,Post,,HarRegistrert,Registrerer
Hoff,Postei,,HarReparert,Reparerer
Holk,Potet,,HarRespektert,Respekterer
Host,Potte,,HarRingt,Ringer
Hud,Pøbel,,HarSamtalt,Samtaler
Humle,Pølse,,HarSendt,Sender
Hump,Prakt,,HarSeparertSeg,SeparererSeg
Hvelv,Prest,,HarSkapt,Skaper
Hvete,Prim,,HarSkilt,Skiller
Hylle,Prolaps,,HarSkint,Skinner
Hylse,Propp,,HarSkjent,Skjenner
Hyse,Pryd,,HarSkjønt,Skjønner
Igle,Pudder,,HarSkålt,Skåler
Iglo,Pudding,,HarSmakt,Smaker
Innside,Pukkel,,HarSmilt,Smiler
Isjas,Pult,,HarSortert,Sorterer
Jakke,Pulver,,HarSpandert,Spanderer
Jakt,Puma,,HarSpart,Sparer
Jolle,Pumpe,,HarSpasert,Spaserer
Jord,Purke,,HarSpekulert,Spekulerer
Jorde,Puss,,HarSpilt,Spiller
Jøde,Pute,,HarSpist,Spiser
Jur,Pynt,,HarStekt,Steker
Jus,Rabarbra,,HarStelt,Steller
Juv,Radar,,HarStemt,Stemmer
Kabal,Ramme,,HarStilt,Stiller
Kabel,Rand,,HarStudert,Studerer
Kahytt,Ransel,,HarSvart,Svarer
Kajakk,Ras,,HarSvømt,Svømmer
Kakkel,Ratt,,HarSøkt,Søker
Kakkerlakk,Ravn,,HarSølt,Søler
Kalas,Råne,,HarTelt,Teller
Kalkyle,Regatta,,HarTenkt,Tenker
Kalosj,Reir,,HarTent,Tenner
Kalott,Reke,,HarTilberedt,Tilbereder
Kalv,Rektor,,HarTjent,Tjener
Kammer,Rem,,HarTrent,Trener
Kanal,Remulade,,HarTrengt,Trenger
Kanne,Revy,,HarTålt,Tåler
Kanon,Ridder,,HarUndersøkt,Undersøker
Kant,Rim,,HarUndervist,Underviser
Kaos,Ring,,HarUttryktSeg,UttrykkerSeg
Kapers,Rive,,HarVart,Varer
Kapsel,Rogn,,HarVist,Viser
Kar,Rombe,,HarVokst,Vokser
